Numero de documentos del corpus :9688
N�mero de palabras del corpus:112947
Palabra:Ava	Frec:1.0	LogProb:-11.099944684820402
Palabra:jordin	Frec:2.0	LogProb:-10.694479576712236
Palabra:YEARS	Frec:1.0	LogProb:-11.099944684820402
Palabra:kiiddding	Frec:1.0	LogProb:-11.099944684820402
Palabra:shops	Frec:3.0	LogProb:-10.406797504260457
Palabra:assume	Frec:2.0	LogProb:-10.694479576712236
Palabra:YES~	Frec:1.0	LogProb:-11.099944684820402
Palabra:cornbread	Frec:1.0	LogProb:-11.099944684820402
Palabra:Avs	Frec:1.0	LogProb:-11.099944684820402
Palabra:Portman	Frec:1.0	LogProb:-11.099944684820402
Palabra:We'll	Frec:2.0	LogProb:-10.694479576712236
Palabra:memory	Frec:9.0	LogProb:-9.4905067723863
Palabra:farmers	Frec:1.0	LogProb:-11.099944684820402
Palabra:ambiance	Frec:1.0	LogProb:-11.099944684820402
